Size, Regular, Karatsuba, Java's BigInteger
190, 3.3508570000000003E-6, 1.6446798E-5, 2.1232200000000001E-7
191, 3.333041E-6, 1.3771336E-5, 1.99634E-7
192, 2.72224E-6, 1.3513045E-5, 1.73309E-7
193, 2.691437E-6, 1.4155590000000001E-5, 2.49774E-7
194, 3.119162E-6, 1.5539983E-5, 2.92128E-7
195, 3.180392E-6, 1.5142599E-5, 3.3396E-7
196, 2.88792E-6, 1.4049801E-5, 2.2183300000000003E-7
197, 2.7685590000000004E-6, 1.5249620000000002E-5, 2.56147E-7
198, 2.717368E-6, 1.4416286000000001E-5, 3.35962E-7
199, 3.696528E-6, 1.8153828000000002E-5, 3.2864E-7
200, 6.622346E-6, 2.0989326000000004E-5, 2.62365E-7
201, 3.1054070000000004E-6, 1.5118260000000001E-5, 1.9967100000000001E-7
202, 3.1194920000000006E-6, 1.5978329000000002E-5, 1.9937200000000002E-7
203, 3.4521280000000003E-6, 2.2695816E-5, 3.3136500000000006E-7
204, 3.6570590000000005E-6, 1.8958664000000004E-5, 2.40065E-7
205, 3.547564E-6, 1.6050141E-5, 2.27873E-7
206, 3.0615970000000006E-6, 1.4712705000000001E-5, 2.13611E-7
207, 3.058182E-6, 1.7008537000000003E-5, 2.8213500000000003E-7
208, 3.718546E-6, 2.8642235E-5, 2.27361E-7
209, 3.4521720000000002E-6, 1.5584311E-5, 1.9346600000000002E-7
210, 3.14975E-6, 1.5277989E-5, 1.95057E-7
211, 3.1577800000000004E-6, 1.4997963E-5, 2.0135800000000002E-7
212, 3.7616970000000005E-6, 1.9337056E-5, 2.8048200000000004E-7
213, 3.5193730000000004E-6, 1.7884596000000004E-5, 3.23116E-7
214, 3.314365E-6, 1.5150648E-5, 2.67154E-7
215, 3.19508E-6, 1.5067676E-5, 2.5600599999999997E-7
216, 3.099584E-6, 1.9152326E-5, 2.93875E-7
217, 4.208588E-6, 1.993077E-5, 2.8008E-7
218, 3.790064E-6, 1.9996048E-5, 2.5013000000000003E-7
219, 3.6568690000000003E-6, 1.6783732E-5, 2.2600700000000002E-7
220, 3.6868580000000003E-6, 1.8531116000000003E-5, 2.8145600000000003E-7
221, 3.666685E-6, 2.0231125000000002E-5, 2.9464800000000006E-7
222, 4.013939E-6, 2.0043761E-5, 3.21256E-7
223, 3.889698E-6, 1.7255856E-5, 2.31131E-7
224, 3.6356720000000003E-6, 1.6323209E-5, 2.46451E-7
225, 4.020498E-6, 1.9397203000000003E-5, 2.8774500000000004E-7
226, 4.04318E-6, 2.0953610000000003E-5, 3.3481E-7
227, 3.768649E-6, 1.6947134999999998E-5, 2.2810800000000002E-7
228, 3.603825E-6, 1.6849387E-5, 2.47138E-7
229, 3.592845E-6, 1.9079711E-5, 2.8671300000000003E-7
230, 3.985238E-6, 2.0184543000000004E-5, 2.38938E-7
231, 4.036851E-6, 1.8927286000000003E-5, 2.19113E-7
232, 3.763363E-6, 1.6903728E-5, 2.8346200000000003E-7
233, 3.8042990000000003E-6, 1.7285046E-5, 3.6004000000000004E-7
234, 3.925133E-6, 2.2656205000000002E-5, 3.0435500000000003E-7
235, 4.507851E-6, 2.0388952000000003E-5, 2.79399E-7
236, 4.1709510000000005E-6, 2.0176308E-5, 3.0367800000000003E-7
237, 4.168524000000001E-6, 1.927567E-5, 3.0519600000000005E-7
238, 4.805367E-6, 2.3359733000000003E-5, 3.0762900000000003E-7
239, 4.438086000000001E-6, 2.2071256000000003E-5, 2.56822E-7
240, 4.24842E-6, 1.9854978000000002E-5, 2.5888400000000006E-7
241, 4.29998E-6, 1.9837466E-5, 3.6080900000000004E-7
242, 4.868041E-6, 2.269753E-5, 3.71465E-7
243, 4.897014000000001E-6, 2.2622844000000003E-5, 2.7926100000000005E-7
244, 4.2986310000000005E-6, 1.9304976E-5, 2.97717E-7
245, 4.169810000000001E-6, 2.3403276000000004E-5, 3.5574000000000003E-7
246, 4.649207E-6, 2.2772787E-5, 2.9100099999999997E-7
247, 4.631756000000001E-6, 2.1574683000000002E-5, 2.7307E-7
248, 4.266672E-6, 1.9105113000000003E-5, 2.9951799999999997E-7
249, 4.167496E-6, 2.1143249000000002E-5, 2.93698E-7
250, 5.237409E-6, 2.2420894E-5, 2.86393E-7
251, 5.030991E-6, 1.9860584E-5, 3.33613E-7
252, 4.340945E-6, 2.0989805E-5, 3.1859500000000003E-7
253, 4.976432E-6, 2.3441447E-5, 3.98924E-7
254, 5.3874E-6, 2.7362150000000004E-5, 4.23631E-7
255, 5.019394000000001E-6, 2.1126678000000002E-5, 3.13429E-7
256, 4.737430000000001E-6, 2.2244159E-5, 3.3419700000000004E-7
257, 5.176995E-6, 2.1111087E-5, 4.07926E-7
258, 5.368429E-6, 2.4908692E-5, 2.9674500000000003E-7
259, 4.869016E-6, 2.0915114000000004E-5, 2.92763E-7
260, 4.724045000000001E-6, 2.2400439E-5, 3.32657E-7
261, 5.600172E-6, 2.4487712000000002E-5, 3.5717E-7
262, 5.287471E-6, 2.2086310000000003E-5, 3.13752E-7
263, 4.837229E-6, 2.0764314E-5, 3.12936E-7
264, 5.534238000000001E-6, 2.3979265E-5, 4.0193300000000003E-7
265, 5.537773000000001E-6, 2.3652978000000002E-5, 3.13008E-7
266, 4.841126E-6, 2.1693493E-5, 2.7981700000000005E-7
267, 4.884909E-6, 2.2573099E-5, 3.28066E-7
268, 5.374277000000001E-6, 2.547255E-5, 2.9077300000000003E-7
269, 5.374949E-6, 2.1061897E-5, 2.8372000000000006E-7
270, 4.917568E-6, 2.4017658E-5, 3.58414E-7
271, 6.439202000000001E-6, 2.7698336E-5, 4.0265100000000005E-7
272, 6.256607E-6, 2.6120635E-5, 6.813640000000001E-7
273, 8.950153000000001E-6, 2.5059093000000003E-5, 3.8652E-7
274, 5.975328000000001E-6, 2.6582087000000002E-5, 3.62426E-7
275, 6.001582000000001E-6, 2.5484978E-5, 3.47055E-7
276, 5.633859000000001E-6, 2.4429884E-5, 3.5223500000000006E-7
277, 6.029738000000001E-6, 2.7604569000000002E-5, 3.8061300000000005E-7
278, 6.250735E-6, 2.5395334E-5, 3.54385E-7
